identifier,articles,files,templates,categories
enwikiquote,75702,0,1758,12836
enwikisource,741396,18759,9841,20958
enwikiversity,60179,37421,9287,8263
enwikivoyage,61878,1781,1665,4624
glwiki,281962,898,22723,72130
glwiktionary,77549,74,4283,8258
glwikibooks,1420,109,291,308
glwikiquote,725,0,322,351
glwikisource,1188,64,405,648
itwiki,2810797,135277,173765,434832
itwiktionary,560329,32,2824,8736
itwikibooks,16663,765,2138,1890
itwikinews,13872,115,2254,9075
itwikiquote,77051,286,1940,7176
itwikisource,103598,957,2285,52540
itwikiversity,5901,47,1816,2832
itwikivoyage,13178,0,1225,6764
mrwiki,151834,19175,12218,21508
mrwiktionary,3586,3,470,401
mrwikibooks,290,1,418,75
mrwikiquote,101,1,93,152
mrwikisource,3064,20,1876,374
mrjwiki,12535,1,4120,1635
shiwiki,2043,1,1183,422
tumwiki,8683,8,1462,385
bat_smgwiki,23609,109,1264,1464
pnbwiki,79880,149,7740,18426
pnbwiktionary,9735,0,22,235
smwiki,1539,4,216,187
smwiktionary,7704,0,165,89
xalwiki,2907,0,7725,180
ngwiki,25,0,35,9
