identifier,articles,files,templates,categories
nowiki,944186,4,54113,190957
nowiktionary,157329,10,3348,6170
nowikibooks,1894,6,305,266
nowikinews,796,3,581,1032
nowikiquote,1107,3,202,419
nowikisource,6013,825,410,1184
roa_rupwiki,1846,1,301,408
roa_rupwiktionary,1330,0,177,45
tiwiki,672,0,742,170
tiwiktionary,604,0,107,16
dawiki,458076,0,26720,66536
dawiktionary,41036,0,2091,4613
dawikibooks,1892,0,296,338
dawikiquote,484,1,402,194
dawikisource,3194,14,211,664
chywiki,931,1,120,233
lowiki,6649,0,2488,1132
lowiktionary,61571,2,383,249
mlwiki,183223,7989,45274,27936
mlwiktionary,132230,5,1441,441
mlwikibooks,383,32,460,205
mlwikiquote,808,1,430,52
mlwikisource,8647,628,1283,1197
szywiki,4850,0,305,155
thwiki,343903,26474,49370,72703
thwiktionary,222658,0,3314,13764
thwikibooks,1697,288,1175,463
thwikinews,199,0,60,185
thwikiquote,2325,1,325,259
thwikisource,6031,29,1706,1195
vewiki,880,0,138,179
zuwiki,12087,0,1028,1411
zuwiktionary,1221,0,123,40
zuwikibooks,4,0,10,2
akwiki,779,0,191,165
akwiktionary,0,0,11,1
akwikibooks,1,0,21,1
mnwiki,29972,1386,9538,47838
mnwiktionary,44867,113,976,485
mnwikibooks,5,0,16,1
muswiki,3,0,9,3
tgwiki,138352,523,20913,24171
tgwiktionary,31080,4,2055,2027
tgwikibooks,114,0,193,85
astwiki,150869,1,5938,30298
astwiktionary,47631,1,1177,4388
astwikibooks,18,6,10,4
astwikiquote,34,0,11,6
gcrwiki,2402,0,24,81
skrwiki,5630,0,194,99
skrwiktionary,115597,0,7,964
altwiki,1236,0,2235,302
bgwiki,418647,497,17145,78703
bgwiktionary,789007,22,72814,558
bgwikibooks,680,62,299,62
bgwikinews,691,2,581,1922
bgwikiquote,7693,5,205,535
bgwikisource,2568,9,125,278
kvwiki,7887,0,4447,3250
lfnwiki,5239,0,304,875
pwnwiki,367,0,20,18
tetwiki,1824,1,346,203
tnwiki,1297,5,1069,269
tnwiktionary,245,0,173,31
bewiki,487006,3272,34817,106819
bewiktionary,5109,0,1361,1717
bewikibooks,161,0,174,176
bewikiquote,693,1,192,561
bewikisource,11135,0,453,2917
chowiki,20,0,18,6
fowiki,19156,1,8626,4613
fowiktionary,2165,0,360,449
fowikisource,78,1,15,15
ikwiki,1195,1,144,296
ikwiktionary,151,0,124,2
kgwiki,1515,1,148,203
roa_tarawiki,10728,288,3373,1345
yowiki,41760,167,6800,2877
yowiktionary,1,0,90,1
yowikibooks,4,0,9,1
banwiki,19047,116,7354,2304
banwikisource,849,0,249,56
cswiki,845263,1,28504,200844
cswiktionary,141199,1,1033,51905
cswikibooks,3063,27,132,267
cswikinews,7967,1,148,6820
cswikiquote,12717,1,53,639
cswikisource,54838,7,224,4665
cswikiversity,6367,1,349,1853
dtywiki,3901,3,6683,652
ugwiki,10989,145,589,1479
ugwiktionary,1887,0,555,642
ugwikibooks,3,0,12,1
ugwikiquote,3,0,12,1
vlswiki,12405,483,603,3117
aswiki,29535,1799,11612,2989
aswiktionary,19,0,96,7
aswikibooks,2,0,9,1
aswikisource,2490,11,915,1079
cewiki,525633,322,13313,16849
eswiki,3677679,0,31858,474795
eswiktionary,916386,15,8151,28204
eswikibooks,18544,2,1697,1121
eswikinews,16055,0,3571,8994
eswikiquote,14317,0,1453,3004
eswikisource,106193,237,2479,9635
eswikiversity,4510,1,711,509
eswikivoyage,3846,0,1644,1421
jbowiki,2837,1,291,766
jbowiktionary,1293,0,171,120
kkwiki,280885,10824,49469,30044
kkwiktionary,7411,8,252,108
kkwikibooks,436,1,466,133
kkwikiquote,16,0,13,2
kwwiki,7714,7,1129,1934
kwwiktionary,529,0,56,61
kwwikiquote,2,0,9,1
pihwiki,1237,1,609,333
plwiki,2074601,1327,63855,286985
plwiktionary,774867,46,5643,6689
plwikibooks,13359,931,5598,6946
plwikinews,31886,1271,1588,8455
plwikiquote,33622,1,640,5963
plwikisource,250598,145,7572,10199
plwikivoyage,13303,0,254,605
bowiki,14014,11,366,946
bowiktionary,1,0,52,1
bowikibooks,2,2,9,1
ttwiki,550504,6203,19275,30703
ttwiktionary,8042,1,376,220
ttwikibooks,629,46,187,195
ttwikiquote,4,0,11,1
udmwiki,9130,11,4983,2207
uzwiki,531235,2362,15798,20997
uzwiktionary,150101,1,2257,1148
uzwikibooks,14,1,15,12
uzwikiquote,318,2,175,117
sgwiki,671,0,216,160
sgwiktionary,43669,1,2395,3293
siwiki,35020,3118,19511,7577
siwiktionary,1737,8,697,275
siwikibooks,1912,65,979,513
smnwiki,5626,0,1568,8397
vowiki,139927,1,872,2950
vowiktionary,23563,1,415,985
vowikibooks,8,0,12,14
vowikiquote,2,0,9,1
nqowiki,1594,0,36,958
biwiki,1776,0,77,286
biwiktionary,0,0,89,1
biwikibooks,2,0,9,1
rmwiki,4672,51,787,1044
rmwiktionary,2,0,10,1
rmwikibooks,2,0,9,1
aywiki,5746,0,244,976
aywiktionary,1191,0,180,59
aywikibooks,2,0,9,1
tyvwiki,4231,0,5619,947
bswiki,204417,5536,20514,62296
bswiktionary,7985,0,654,1405
bswikibooks,61,10,64,18
bswikinews,379,1,94,3747
bswikiquote,4899,288,600,886
bswikisource,2196,62,131,107
gotwiki,1267,1,445,501
gotwikibooks,5,0,10,0
jamwiki,2285,0,173,259
maiwiki,15945,119,7091,1090
sahwiki,20681,1764,15427,5824
sahwikiquote,1336,0,82,132
sahwikisource,1000,2,80,194
urwiki,392172,13323,47548,472958
urwiktionary,31098,2,588,693
urwikibooks,530,38,130,94
urwikiquote,768,9,221,824
amiwiki,1577,0,32,20
dinwiki,644,0,113,118
shywiktionary,3795,0,103,89
twwiki,2794,0,854,323
twwiktionary,2,0,89,6
warwiki,2102629,1303,11319,154486
zh_min_nanwiki,670423,340,48846,47995
zh_min_nanwiktionary,22505,1,346,212
zh_min_nanwikibooks,40,9,19,30
zh_min_nanwikiquote,67,0,17,27
zh_min_nanwikisource,2433,2,49,120
cowiki,9779,3,1277,1290
cowiktionary,9541,18,817,397
cowikibooks,13,3,16,5
cowikiquote,5,0,10,1
fjwiki,1588,1,316,592
fjwiktionary,31393,0,201,112
frpwiki,9069,2,1905,1925
gomwiki,4582,0,1921,204
gomwiktionary,2752,0,91,19
gorwiki,14567,0,1873,1833
gvwiki,8155,188,2004,10457
gvwiktionary,567,1,438,47
kiwiki,1706,1,207,172
mznwiki,19881,264,4384,1584
acewiki,14320,0,1708,936
nrmwiki,7278,0,531,834
sqwiki,127829,5333,11504,16813
sqwiktionary,42205,0,1284,1574
sqwikibooks,5672,308,426,90
sqwikinews,774,0,266,776
sqwikiquote,374,2,230,577
napwiki,16180,288,1603,1545
napwikisource,394,0,251,268
htwiki,75509,3,943,2937
htwikisource,23,2,16,4
kmwiki,15179,1051,9994,1294
kmwiktionary,43425,107,2106,358
kmwikibooks,294,15,159,15
sewiki,9586,3,1935,5786
sewikibooks,2,0,9,1
bugwiki,16157,1,610,313
arzwiki,1632375,1523,10316,184441
eewiki,932,0,227,354
howiki,4,0,12,2
lrcwiki,1,1,1,0
novwiki,1832,2,478,816
szlwiki,58684,0,1343,5538
towiki,3141,12,236,366
towiktionary,3,0,87,1
abwiki,7601,10,1535,9161
abwiktionary,3,0,98,1
tywiki,1484,0,314,225
nlwiki,2914725,22,46730,142923
nlwiktionary,842502,7,237905,28187
nlwikibooks,10509,20,1372,957
nlwikinews,5516,1,302,6579
nlwikiquote,1431,1,192,234
nlwikisource,12958,1,546,827
nlwikivoyage,5847,2,630,207
oswiki,32012,159,16818,9560
csbwiki,6167,1,217,624
csbwiktionary,1694,0,180,245
blkwiki,2717,0,1103,209
brwiki,99920,5339,5729,21516
brwiktionary,49691,39,1149,4096
brwikiquote,209,0,76,117
brwikisource,8038,0,146,737
hsbwiki,20024,131,4733,6818
hsbwiktionary,4228,0,545,203
map_bmswiki,14891,463,2585,6579
mwlwiki,4652,0,1174,2711
zawiki,3057,6,235,302
zawiktionary,185,0,34,14
